datetime,wind_speed,wind_dir,stability
2024-01-19 17:00:00,0.39498,75.5316,F
2024-01-19 17:30:00,0.113841,102.372,A
2024-01-19 18:00:00,0.207841,118.874,A
2024-01-19 18:30:00,0.547555,53.4392,A
2024-01-19 19:00:00,0.132242,126.625,F
2024-01-19 19:30:00,0.246644,139.043,A
2024-01-19 20:00:00,0.0724652,202.849,F
2024-01-19 20:30:00,0.34119,58.641,A
2024-01-19 21:00:00,0.198442,22.2206,A
2024-01-19 21:30:00,0.229094,142.311,F
2024-01-19 22:00:00,0.290553,64.4587,F
2024-01-19 22:30:00,0.177189,101.003,A
2024-01-19 23:00:00,0.336399,74.3448,A
2024-01-19 23:30:00,0.353256,68.9915,A
2024-01-20 00:00:00,0.0864943,153.48,A
2024-01-20 00:30:00,0.3014,58.3315,F
2024-01-20 01:00:00,0.332701,107.075,A
2024-01-20 01:30:00,0.205914,92.272,A
2024-01-20 02:00:00,0.225734,240.516,A
2024-01-20 02:30:00,0.530647,48.5545,F
2024-01-20 03:00:00,0.173239,128.914,A
2024-01-20 03:30:00,0.325829,61.3116,F
2024-01-20 04:00:00,0.302141,100.61,A
2024-01-20 04:30:00,0.156626,167.587,A
2024-01-20 05:00:00,0.517634,64.9592,A
2024-01-20 05:30:00,0.257281,76.0248,F
2024-01-20 06:00:00,0.307972,31.7108,F
2024-01-20 06:30:00,0.236483,109.608,F
2024-01-20 07:00:00,0.347607,52.8493,A
2024-01-20 07:30:00,0.429692,24.5267,F
2024-01-20 08:00:00,0.119866,118.547,F
2024-01-20 08:30:00,0.315502,76.1583,A
2024-01-20 09:00:00,0.142309,85.98,F
2024-01-20 09:30:00,0.315974,82.9649,A
2024-01-20 10:00:00,0.31696,60.3087,A
2024-01-20 10:30:00,0.158412,35.2709,A
2024-01-20 11:00:00,0.644708,63.3206,A
2024-01-20 11:30:00,0.690143,50.5114,A
2024-01-20 12:00:00,0.419678,72.3383,A
2024-01-20 12:30:00,0.920767,59.2277,A
2024-01-20 13:00:00,1.47762,45.7439,F
2024-01-20 13:30:00,1.90912,36.0994,F
2024-01-20 14:30:00,1.91908,68.1292,F
2024-01-20 15:00:00,2.70602,47.4794,F
2024-01-20 15:30:00,1.29287,64.1842,F
2024-01-20 16:00:00,0.521686,147.679,A
2024-01-20 16:30:00,0.318841,147.684,A
2024-01-20 17:00:00,0.195165,154.113,F
2024-01-20 17:30:00,0.184362,145.622,F
2024-01-20 18:00:00,1.29529,63.8868,F
2024-01-20 19:30:00,3.28861,42.6644,F
2024-01-20 20:00:00,4.95624,48.4223,F
2024-01-20 20:30:00,4.35685,51.742,F
2024-01-20 21:00:00,4.47182,43.5749,F
2024-01-20 21:30:00,3.94614,43.8419,F
2024-01-20 22:00:00,4.07517,46.1592,F
